title,doi,authors,journal,year,citation_count,quality_level,source
"Explainable Artificial Intelligence (XAI): Concepts  taxonomies  opportunities and challenges toward responsible AI","10.1016/j.inffus.2019.12.012","Alejandro Barredo Arrieta; Natalia Díaz-Rodríguez; Javier Del Ser; Adrien Bennetot; Siham Tabik","Information Fusion",2019,9162,S,openalex
"Advances and Open Problems in Federated Learning","10.1561/2200000083","Peter Kairouz; H. Brendan McMahan; Brendan Avent; Aurélien Bellet; Mehdi Bennis","Foundations and Trends® in Machine Learning",2020,4821,S,openalex
"The role of hydrogen and fuel cells in the global energy system","10.1039/c8ee01157e","Iain Staffell; Daniel Scamman; Anthony Velazquez Abad; Paul Balcombe; Paul E. Dodds","Energy & Environmental Science",2018,3905,S,openalex
"Blockchain technology in the energy sector: A systematic review of challenges and opportunities","10.1016/j.rser.2018.10.014","Merlinda Andoni; Valentin Robu; David Flynn; Simone Abram; Dale Geach","Renewable and Sustainable Energy Reviews",2018,2365,S,openalex
"The Future of Energy Supply: Challenges and Opportunities","10.1002/anie.200602373","Nicola Armaroli; Vincenzo Balzani","Angewandte Chemie International Edition",2006,1909,S,openalex
"The Economics of Two-Sided Markets","10.1257/jep.23.3.125","Marc Rysman","The Journal of Economic Perspectives",2009,1262,S,openalex
"An Introduction to Deep Reinforcement Learning","10.1561/2200000071","Vincent François-Lavet; Peter Henderson; Riashat Islam; Marc G. Bellemare; Joëlle Pineau","Foundations and Trends® in Machine Learning",2018,1259,S,openalex
"Grand challenges in the science of wind energy","10.1126/science.aau2027","Paul Veers; Katherine Dykes; Eric Lantz; Stephan Barth; Carlo L. Bottasso","Science",2019,1224,S,openalex
"Toward Causal Representation Learning","10.1109/jproc.2021.3058954","Bernhard Schölkopf; Francesco Locatello; Stefan Bauer; Nan Rosemary Ke; Nal Kalchbrenner","Proceedings of the IEEE",2021,1036,S,openalex
"Selecting critical features for data classification based on machine learning methods","10.1186/s40537-020-00327-4","Rung-Ching Chen; Christine Dewi; Su-Wen Huang; Rezzy Eko Caraka","Journal Of Big Data",2020,982,S,openalex
"Artificial intelligence and smart vision for building and construction 4.0: Machine and deep learning methods and applications","10.1016/j.autcon.2022.104440","Shanaka Kristombu Baduge; Sadeep Thilakarathna; Jude Shalitha Perera; Mehrdad Arashpour; P. Sharafi","Automation in Construction",2022,931,S,openalex
"Artificial intelligence and machine learning approaches to energy demand-side response: A systematic review","10.1016/j.rser.2020.109899","Ioannis Antonopoulos; Valentin Robu; Benoit Couraud; Desen Kırlı; Sonam Norbu","Renewable and Sustainable Energy Reviews",2020,618,S,openalex
"Machine learning for a sustainable energy future","10.1038/s41578-022-00490-5","Zhenpeng Yao; Yanwei Lum; Andrew Johnston; L.M. Mejía-Mendoza; Xin Zhou","Nature Reviews Materials",2022,474,S,openalex
"Machine learning in energy economics and finance: A review","10.1016/j.eneco.2019.05.006","Hamed Ghoddusi; Germán G. Creamer; Nima Rafizadeh","Energy Economics",2019,431,S,openalex
"Machine learning in agricultural and applied economics","10.1093/erae/jbz033","Hugo Storm; Kathy Baylis; Thomas Heckelei","European Review of Agricultural Economics",2019,216,S,openalex
"What is assessment for learning?","10.1016/j.stueduc.2011.03.001","Dylan Wiliam","Studies In Educational Evaluation",2011,1246,A,openalex
"Integrating Scientific Knowledge with Machine Learning for Engineering and Environmental Systems","10.1145/3514228","Jared Willard; Xiaowei Jia; Shaoming Xu; Michael Steinbach; Vipin Kumar","ACM Computing Surveys",2022,660,A,openalex
"Statistical and Machine Learning forecasting methods: Concerns and ways forward","10.1371/journal.pone.0194889","Spyros Makridakis; Evangelos Spiliotis; Vassilios Assimakopoulos","PLoS ONE",2018,1407,B,openalex
"A Survey on Machine Learning Techniques for Cyber Security in the Last Decade","10.1109/access.2020.3041951","Kamran Shaukat; Suhuai Luo; Vijay Varadharajan; Ibrahim A. Hameed; Min Xu","IEEE Access",2020,511,B,openalex
"Dynamical Movement Primitives: Learning Attractor Models for Motor Behaviors","10.1162/neco_a_00393","Auke Jan Ijspeert; Jun Nakanishi; H. Hoffmann; Peter Pástor; Stefan Schaal","Neural Computation",2012,1578,C,openalex
"Machine learning in manufacturing: advantages  challenges  and applications","10.1080/21693277.2016.1192517","Thorsten Wuest; D. R. Weimer; Christopher Irgens; Klaus‐Dieter Thoben","Production & Manufacturing Research",2016,1262,C,openalex
"A comprehensive survey on machine learning for networking: evolution  applications and research opportunities","10.1186/s13174-018-0087-2","Raouf Boutaba; Mohammad A. Salahuddin; Noura Limam; Sara Ayoubi; Nashid Shahriar","Journal of Internet Services and Applications",2018,999,C,openalex
"Tackling Climate Change with Machine Learning","10.1145/3485128","Lynn H. Kaack; David Rolnick; Priya L. Donti; Kelly Kochanski; Alexandre Lacoste","OPUS 4 (Zuse Institute Berlin)",2022,883,C,openalex
"Mechanisms of plant survival and mortality during drought: why do some plants survive while others succumb to drought?","10.1111/j.1469-8137.2008.02436.x","Nate G. McDowell; William T. Pockman; Craig D. Allen; David D. Breshears; Neil S. Cobb","New Phytologist",2008,4431,S,openalex
"Global Carbon Budget 2023","10.5194/essd-15-5301-2023","Pierre Friedlingstein; Michael O’Sullivan; Matthew W. Jones; Robbie M. Andrew; Dorothée C. E. Bakker","Earth system science data",2023,1389,S,openalex
"Effects of climate extremes on the terrestrial carbon cycle: concepts  processes and potential future impacts","10.1111/gcb.12916","D. Frank; Markus Reichstein; Michael Bahn; Kirsten Thonicke; David Frank","Global Change Biology",2015,1022,S,openalex
"Graphitic carbon nitride “reloaded”: emerging applications beyond (photo)catalysis","10.1039/c5cs00767d","Jian Liu; Hongqiang Wang; Markus Antonietti","Chemical Society Reviews",2016,923,S,openalex
"Multi-faceted particle pumps drive carbon sequestration in the ocean","10.1038/s41586-019-1098-2","Philip W. Boyd; Hervé Claustre; Marina Lévy; David A. Siegel; Thomas Weber","Nature",2019,891,S,openalex
"Environmental and physiological determinants of carbon isotope discrimination in terrestrial plants","10.1111/nph.12423","Lucas A. Cernusak; Nerea Ubierna; Klaus Winter; Joseph A. M. Holtum; John D. Marshall","New Phytologist",2013,642,S,openalex
"Microbial soil respiration and its dependency on carbon inputs  soil temperature and moisture","10.1111/j.1365-2486.2007.01415.x","Jorge Curiel Yuste; Dennis Baldocchi; Alexander Gershenson; Allen H. Goldstein; Laurent Misson","Global Change Biology",2007,608,S,openalex
"Carbon Nanotubes and Related Nanomaterials: Critical Advances and Challenges for Synthesis toward Mainstream Commercial Applications","10.1021/acsnano.8b06511","Rahul Rao; Cary L. Pint; Ahmad E. Islam; Robert S. Weatherup; Stephan Hofmann","ACS Nano",2018,575,S,openalex
"Managing Soils and Ecosystems for Mitigating Anthropogenic Carbon Emissions and Advancing Global Food Security","10.1525/bio.2010.60.9.8","Rattan Lal","BioScience",2010,554,S,openalex
"Carbon-negative production of acetone and isopropanol by gas fermentation at industrial pilot scale","10.1038/s41587-021-01195-w","Fungmin Liew; Robert Nogle; Tanus Abdalla; Blake J. Rasor; Christina Canter","Nature Biotechnology",2022,479,S,openalex
"Fabrication  Functionalization  and Application of Carbon Nanotube-Reinforced Polymer Composite: An Overview","10.3390/polym13071047","Norizan Mohd Nurazzi; M. R. M. Asyraf; Khalina Abdan; Norli Abdullah; Fatimah Athiyah Sabaruddin","Polymers",2021,461,S,openalex
"Single-sequence protein structure prediction using a language model and deep learning","10.1038/s41587-022-01432-w","Ratul Chowdhury; Nazim Bouatta; Surojit Biswas; Christina Floristean; Anant Kharkar","Nature Biotechnology",2022,427,S,openalex
"Functional Carbon from Nature: Biomass‐Derived Carbon Materials and the Recent Progress of Their Applications","10.1002/advs.202205557","Hongzhe He; Ruoqun Zhang; Pengcheng Zhang; Ping Wang; Ning Chen","Advanced Science",2023,387,S,openalex
"gapseq: informed prediction of bacterial metabolic pathways and reconstruction of accurate metabolic models","10.1186/s13059-021-02295-1","Johannes Zimmermann; Christoph Kaleta; Silvio Waschina","Genome biology",2021,313,S,openalex
"A repeat protein links Rubisco to form the eukaryotic carbon-concentrating organelle","10.1073/pnas.1522866113","Luke C. M. Mackinder; Moritz T. Meyer; Tabea Mettler‐Altmann; Vivian K. Chen; Madeline Mitchell","Proceedings of the National Academy of Sciences",2016,295,S,openalex
"Single‐atom catalysis for carbon neutrality","10.1002/cey2.194","Ligang Wang; Dingsheng Wang; Yadong Li","Carbon Energy",2022,281,S,openalex
"Carbon Dioxide Capture and Storage: Issues and Prospects","10.1146/annurev-environ-032112-095222","Heleen de Coninck; Sally M. Benson","Annual Review of Environment and Resources",2014,249,S,openalex
"Patterns and Mechanisms of the Forest Carbon Cycle","10.1146/annurev.energy.28.050302.105515","Stith T. Gower","Annual Review of Environment and Resources",2003,227,S,openalex
"Breeding crop plants with deep roots: their role in sustainable carbon  nutrient and water sequestration","10.1093/aob/mcr175","Douglas B. Kell","Annals of Botany",2011,438,A,openalex
"Negative emissions technologies and carbon capture and storage to achieve the Paris Agreement commitments","10.1098/rsta.2016.0447","R. Stuart Haszeldine; Stephanie Flude; Gareth Johnson; Vivian Scott","Philosophical Transactions of the Royal Society A Mathematical Physical and Engineering Sciences",2018,351,A,openalex
"Comparative genomic analysis of carbon and nitrogen assimilation mechanisms in three indigenous bioleaching bacteria: predictions and validations","10.1186/1471-2164-9-581","Gloria Levicán; Juan A. Ugalde; Nicole Ehrenfeld; Alejandro Maass; Pilar Parada","BMC Genomics",2008,129,A,openalex
"Carbon price prediction using multiple hybrid machine learning models optimized by genetic algorithm","10.1016/j.jenvman.2023.118061","Ozan Nadirgil","Journal of Environmental Management",2023,89,A,openalex
"Assessing “Dangerous Climate Change”: Required Reduction of Carbon Emissions to Protect Young People  Future Generations and Nature","10.1371/journal.pone.0081648","James E. Hansen; Pushker Kharecha; Makiko Sato; Valérie Masson‐Delmotte; Frank Ackerman","PLoS ONE",2013,680,B,openalex
"Coupling machine learning and crop modeling improves crop yield prediction in the US Corn Belt","10.1038/s41598-020-80820-1","Mohsen Shahhosseini; Guiping Hu; Isaiah Huber; Sotirios V. Archontoulis","Scientific Reports",2021,407,B,openalex
"A Comprehensive Review of Crop Yield Prediction Using Machine Learning Approaches With Special Emphasis on Palm Oil Yield Prediction","10.1109/access.2021.3075159","Mamunur Rashid; Bifta Sama Bari; Yusri Yusup; Mohamad Anuar Kamaruddin; Nuzhat Khan","IEEE Access",2021,346,B,openalex
"Adsorption of heavy metal onto biomass-derived activated carbon: review","10.1039/d2ra07911a","Baoying Wang; Jingming Lan; Chunmiao Bo; Bolin Gong; Junjie Ou","RSC Advances",2023,329,B,openalex
"Aging of Atmospheric Brown Carbon Aerosol","10.1021/acsearthspacechem.0c00346","Rachel F. Hems; Elijah G. Schnitzler; Carolyn Liu-Kang; Christopher D. Cappa; Jonathan P. D. Abbatt","ACS Earth and Space Chemistry",2021,307,B,openalex
"Microstructure and Properties of Polypropylene/Carbon Nanotube Nanocomposites","10.3390/ma3042884","Dimitrios Ν. Bikiaris","Materials",2010,273,B,openalex
"Deep Learning-Based Cryptocurrency Price Prediction Scheme With Inter-Dependent Relations","10.1109/access.2021.3117848","Sudeep Tanwar; Nisarg Patel; Smit Patel; Jil R. Patel; Gulshan Sharma","IEEE Access",2021,123,B,openalex
"Review of deep learning: concepts  CNN architectures  challenges  applications  future directions","10.1186/s40537-021-00444-8","Laith Alzubaidi; Jinglan Zhang; Amjad J. Humaidi; Ayad Q. Al-Dujaili; Ye Duan","Journal Of Big Data",2021,7623,S,openalex
"Convergence of Edge Computing and Deep Learning: A Comprehensive Survey","10.1109/comst.2020.2970550","Xiaofei Wang; Yiwen Han; Victor C. M. Leung; Dusit Niyato; Xueqiang Yan","IEEE Communications Surveys & Tutorials",2020,1441,S,openalex
"A survey on deep learning methods for power load and renewable energy forecasting in smart microgrids","10.1016/j.rser.2021.110992","Sheraz Aslam; Herodotos Herodotou; Syed Muhammad Mohsin; Nadeem Javaid; Nouman Ashraf","Renewable and Sustainable Energy Reviews",2021,620,S,openalex
"A deep learning framework for building energy consumption forecast","10.1016/j.rser.2020.110591","Nivethitha Somu; M. R. Gauthama Raman; Krithi Ramamritham","Renewable and Sustainable Energy Reviews",2020,479,S,openalex
"Building thermal load prediction through shallow machine learning and deep learning","10.1016/j.apenergy.2020.114683","Zhe Wang; Tianzhen Hong; Mary Ann Piette","Applied Energy",2020,478,S,openalex
"Deep learning framework to forecast electricity demand","10.1016/j.apenergy.2019.01.113","Jatin Bedi; Durga Toshniwal","Applied Energy",2019,469,S,openalex
"Forecasting of transportation-related energy demand and CO2 emissions in Turkey with different machine learning algorithms","10.1016/j.spc.2021.10.001","Ümit Ağbulut","Sustainable Production and Consumption",2021,273,S,openalex
"A deep learning-based forecasting model for renewable energy scenarios to guide sustainable energy policy: A case study of Korea","10.1016/j.rser.2020.109725","KiJeon Nam; Soonho Hwangbo; ChangKyoo Yoo","Renewable and Sustainable Energy Reviews",2020,264,S,openalex
"Ensemble deep learning: A review","10.1016/j.engappai.2022.105151","M. A. Ganaie; Minghui Hu; A. K. Malik; M. Tanveer; Ponnuthurai Nagaratnam Suganthan","Engineering Applications of Artificial Intelligence",2022,2061,A,openalex
"A Deep Learning Approach to Network Intrusion Detection","10.1109/tetci.2017.2772792","Nathan Shone; Trần Nguyên Ngọc; Vu Dinh Phai; Qi Shi","IEEE Transactions on Emerging Topics in Computational Intelligence",2018,1695,A,openalex
"Deep Learning for Household Load Forecasting—A Novel Pooling Deep RNN","10.1109/tsg.2017.2686012","Heng Shi; Minghao Xu; Ran Li","IEEE Transactions on Smart Grid",2017,1093,A,openalex
"Empirical Mode Decomposition based ensemble deep learning for load demand time series forecasting","10.1016/j.asoc.2017.01.015","Xueheng Qiu; Ye Ren; Ponnuthurai Nagaratnam Suganthan; G.A.J. Amaratunga","Applied Soft Computing",2017,452,A,openalex
"Deep learning models for solar irradiance forecasting: A comprehensive review","10.1016/j.jclepro.2021.128566","Pratima Kumari; Durga Toshniwal","Journal of Cleaner Production",2021,420,A,openalex
"Optimal load dispatch of community microgrid with deep learning based solar power and load forecasting","10.1016/j.energy.2019.01.075","Lulu Wen; Kaile Zhou; Shanlin Yang; Xinhui Lu","Energy",2019,388,A,openalex
"Machine Learning  Deep Learning and Statistical Analysis for forecasting building energy consumption — A systematic review","10.1016/j.engappai.2022.105287","Mohamad Khalil; A. Stephen McGough; Zoya Pourmirza; Mehdi Pazhoohesh; Sara Walker","Engineering Applications of Artificial Intelligence",2022,290,A,openalex
"Review of Deep Learning Algorithms and Architectures","10.1109/access.2019.2912200","Ajay Shrestha; Ausif Mahmood","IEEE Access",2019,1843,B,openalex
"Machine Learning and Deep Learning in Energy Systems: A Review","10.3390/su14084832","Mohammad Mahdi Forootan; Iman Larki; Rahim Zahedi; Abolfazl Ahmadi","Sustainability",2022,314,B,openalex
"State-of-the-art review on energy and load forecasting in microgrids using artificial neural networks  machine learning  and deep learning techniques","10.1016/j.epsr.2023.109792","Raniyah Wazirali; Elnaz Yaghoubi; Mohammed Shadi S. Abujazar; Rami Ahmad; Amir Hossein Vakili","Electric Power Systems Research",2023,277,B,openalex
"Load demand forecasting of residential buildings using a deep learning model","10.1016/j.epsr.2019.106073","Lulu Wen; Kaile Zhou; Shanlin Yang","Electric Power Systems Research",2019,212,B,openalex
"Building energy load forecasting using Deep Neural Networks","10.1109/iecon.2016.7793413","Daniel L. Marino; Kasun Amarasinghe; Milos Manic","预印本",2016,498,C,openalex
"Deep Neural Network Based Demand Side Short Term Load Forecasting","10.3390/en10010003","Seunghyoung Ryu; Jae-Koo Noh; Hongseok Kim","Energies",2016,407,C,openalex
"Deep neural networks for energy load forecasting","10.1109/isie.2017.8001465","Kasun Amarasinghe; Daniel Marino; Milos Manic","预印本",2017,338,C,openalex
"Energy Demand Forecasting Using Deep Learning: Applications for the French Grid","10.3390/en13092242","Alejandro J. del Real; Fernando Dorado; Jaime Durán","Energies",2020,64,C,openalex
"Deep Learning-Based Short-Term Load Forecasting for Supporting Demand Response Program in Hybrid Energy System","10.3390/en12173359","Sholeh Hadi Pramono; Mahdin Rohmatillah; Eka Maulana; Rini Nur Hasanah; Fakhriy Hario","Energies",2019,61,C,openalex